time_ms,accel_x_mps2,accel_y_mps2,accel_z_mps2
3272164.0,0.95,-6.85,-7.13
3292156.0,0.96,-6.83,-7.15
3312136.0,0.96,-6.84,-7.12
3332092.0,0.99,-6.79,-7.16
3352072.0,0.97,-6.83,-7.14
3372048.0,0.99,-6.83,-7.13
3392024.0,1.0,-6.84,-7.16
3411988.0,0.95,-6.82,-7.13
3431960.0,0.95,-6.84,-7.14
3451940.0,0.95,-6.88,-7.13
3471924.0,0.94,-6.86,-7.19
3491900.0,0.97,-6.83,-7.15
3511880.0,0.97,-6.83,-7.15
3531852.0,0.95,-6.81,-7.19
3552448.0,0.95,-6.83,-7.15
3572432.0,0.99,-6.85,-7.11
3592412.0,0.96,-6.86,-7.17
3612392.0,0.94,-6.88,-7.15
3632348.0,1.02,-6.85,-7.11
3652328.0,0.97,-6.85,-7.13
3672296.0,0.94,-6.86,-7.21
3692280.0,0.95,-6.86,-7.13
3712256.0,0.92,-6.86,-7.18
3732240.0,0.95,-6.86,-7.19
3752204.0,0.93,-6.85,-7.13
3772184.0,0.94,-6.85,-7.11
3792156.0,0.95,-6.83,-7.12
3812136.0,0.95,-6.83,-7.12
3832120.0,0.98,-6.82,-7.15
3852704.0,0.95,-6.82,-7.11
3872680.0,0.97,-6.83,-7.13
3892660.0,0.97,-6.8,-7.17
3912640.0,0.98,-6.89,-7.15
3932616.0,0.97,-6.89,-7.13
3952596.0,0.95,-6.87,-7.14
3972556.0,0.98,-6.87,-7.18
3992540.0,0.97,-6.85,-7.14
4012512.0,1.0,-6.81,-7.12
4032492.0,0.98,-6.81,-7.1
4052472.0,0.96,-6.82,-7.2
4072456.0,0.99,-6.86,-7.12
4092440.0,0.96,-6.85,-7.12
4112420.0,0.96,-6.85,-7.12
4132404.0,0.99,-6.85,-7.12
4152376.0,0.95,-6.87,-7.16
4172960.0,0.96,-6.83,-7.16
4192924.0,0.93,-6.79,-7.11
4212908.0,0.98,-6.84,-7.15
4232880.0,0.98,-6.85,-7.14
4252868.0,0.94,-6.85,-7.17
4272848.0,0.92,-6.82,-7.12
4292828.0,0.96,-6.82,-7.12
4312804.0,0.98,-6.84,-7.14
4332772.0,0.94,-6.87,-7.17
4352756.0,0.99,-6.9,-7.16
4372732.0,0.97,-6.87,-7.11
4392720.0,1.0,-6.89,-7.17
4412696.0,0.94,-6.87,-7.09
4432676.0,0.94,-6.87,-7.09
4452656.0,1.0,-6.89,-7.13
4473240.0,0.95,-6.88,-7.18
4493224.0,0.96,-6.84,-7.09
4513192.0,0.94,-6.85,-7.12
4533176.0,0.96,-6.82,-7.09
4553148.0,1.01,-6.86,-7.15
4573124.0,0.98,-6.84,-7.16
4593096.0,1.0,-6.85,-7.13
4613088.0,0.96,-6.83,-7.16
4633068.0,0.96,-6.84,-7.09
4653036.0,0.96,-6.86,-7.16
4673008.0,0.95,-6.8,-7.16
4692972.0,0.96,-6.81,-7.11
4712944.0,0.96,-6.81,-7.11
4732920.0,0.97,-6.85,-7.13
4752904.0,0.97,-6.85,-7.13
4773480.0,0.99,-6.85,-7.16
4793472.0,0.94,-6.88,-7.17
4813436.0,0.96,-6.89,-7.13
4833424.0,0.95,-6.88,-7.18
4853392.0,0.99,-6.9,-7.17
4873380.0,1.03,-6.89,-7.13
4893340.0,0.97,-6.86,-7.14
4913332.0,0.99,-6.86,-7.04
4933300.0,0.98,-6.84,-7.16
4953284.0,0.97,-6.84,-7.16
4973264.0,0.93,-6.88,-7.16
4993244.0,0.93,-6.86,-7.15
5013224.0,0.93,-6.86,-7.15
5033192.0,0.96,-6.82,-7.13
5053184.0,0.95,-6.86,-7.17
5073768.0,0.97,-6.88,-7.16
5093764.0,0.98,-6.87,-7.12
5113732.0,0.96,-6.82,-7.08
5133720.0,1.0,-6.83,-7.16
5153692.0,0.94,-6.87,-7.12
5173672.0,0.98,-6.88,-7.13
5193664.0,0.96,-6.81,-7.17
5213636.0,0.97,-6.87,-7.17
5233620.0,1.01,-6.83,-7.16
5253580.0,0.97,-6.88,-7.15
5273564.0,0.97,-6.87,-7.15
5293536.0,0.99,-6.84,-7.14
5313516.0,1.0,-6.93,-7.19
5333496.0,1.0,-6.93,-7.19
5353476.0,0.98,-6.86,-7.17
5373448.0,0.99,-6.85,-7.14
5394024.0,0.98,-6.82,-7.14
5414000.0,0.94,-6.83,-7.13
5433972.0,0.98,-6.83,-7.15
5453952.0,0.95,-6.81,-7.13
5473920.0,0.97,-6.85,-7.17
5493900.0,0.98,-6.84,-7.16
5513864.0,0.97,-6.84,-7.14
5533844.0,0.94,-6.85,-7.16
5553808.0,0.99,-6.82,-7.14
5573796.0,0.97,-6.84,-7.13
5593772.0,0.95,-6.8,-7.09
5613752.0,0.95,-6.8,-7.09
5633720.0,0.95,-6.88,-7.13
5653700.0,0.95,-6.83,-7.13
5674288.0,1.0,-6.86,-7.09
5694268.0,0.97,-6.87,-7.17
5714248.0,0.98,-6.86,-7.15
5734216.0,0.98,-6.85,-7.18
5754200.0,0.94,-6.86,-7.09
5774172.0,0.97,-6.84,-7.12
5794160.0,0.98,-6.87,-7.2
5814132.0,0.99,-6.85,-7.16
5834120.0,0.97,-6.82,-7.15
5854096.0,0.99,-6.86,-7.15
5874084.0,0.96,-6.88,-7.15
5894072.0,0.94,-6.84,-7.15
5914044.0,0.92,-6.9,-7.16
5934024.0,0.92,-6.9,-7.16
5954000.0,0.9,-6.87,-7.13
5974584.0,0.98,-6.81,-7.1
5994556.0,0.95,-6.84,-7.11
6014536.0,0.94,-6.85,-7.14
6034520.0,0.97,-6.89,-7.13
6054496.0,0.97,-6.87,-7.12
6074468.0,0.98,-6.82,-7.12
6094440.0,0.98,-6.83,-7.16
6114404.0,0.98,-6.84,-7.15
6134376.0,0.96,-6.89,-7.15
6154368.0,0.99,-6.88,-7.17
6174336.0,0.97,-6.88,-7.16
6194316.0,0.98,-6.83,-7.17
6214280.0,0.98,-6.83,-7.17
6234276.0,0.95,-6.84,-7.2
6254252.0,0.95,-6.85,-7.16
6274852.0,1.0,-6.83,-7.13
6294836.0,0.95,-6.83,-7.14
6314816.0,0.93,-6.88,-7.1
6334804.0,0.97,-6.84,-7.14
6354780.0,0.96,-6.83,-7.19
6374764.0,0.96,-6.87,-7.14
6394728.0,0.91,-6.85,-7.16
6414720.0,1.01,-6.84,-7.1
6434700.0,0.93,-6.82,-7.09
6454688.0,0.95,-6.8,-7.09
6474652.0,0.98,-6.85,-7.15
6494632.0,0.98,-6.81,-7.16
6514628.0,0.97,-6.84,-7.14
6534600.0,0.99,-6.8,-7.09
6554580.0,0.99,-6.8,-7.09
6574552.0,0.98,-6.85,-7.16
6594520.0,0.96,-6.8,-7.13
6615092.0,0.97,-6.89,-7.13
6635072.0,0.96,-6.85,-7.15
6655040.0,0.94,-6.88,-7.18
6675016.0,0.97,-6.82,-7.15
6695000.0,0.97,-6.87,-7.15
6714976.0,0.99,-6.84,-7.16
6734960.0,0.99,-6.87,-7.2
6754936.0,0.93,-6.85,-7.17
6774920.0,0.95,-6.85,-7.17
6794880.0,0.96,-6.82,-7.13
6814852.0,0.96,-6.85,-7.15
6834804.0,0.96,-6.85,-7.15
6854792.0,0.96,-6.84,-7.13
6875368.0,0.97,-6.84,-7.18
6895356.0,0.96,-6.86,-7.2
6915332.0,0.97,-6.85,-7.09
6935316.0,0.96,-6.84,-7.14
6955288.0,0.99,-6.86,-7.13
6975272.0,0.96,-6.84,-7.15
6995256.0,1.0,-6.85,-7.12
7015228.0,0.95,-6.88,-7.15
7035212.0,0.99,-6.85,-7.16
7055180.0,0.96,-6.9,-7.15
7075168.0,0.96,-6.86,-7.16
7095128.0,0.94,-6.82,-7.13
7115120.0,0.96,-6.84,-7.12
7135096.0,0.96,-6.84,-7.12
7155084.0,0.97,-6.84,-7.13
7175068.0,0.97,-6.79,-7.15
7195664.0,0.95,-6.85,-7.12
7215640.0,0.93,-6.85,-7.14
7235600.0,0.96,-6.85,-7.2
7255576.0,0.97,-6.87,-7.08
7275552.0,0.95,-6.88,-7.2
7295516.0,0.94,-6.84,-7.2
7315492.0,1.0,-6.84,-7.15
7335488.0,0.96,-6.85,-7.12
7355456.0,0.98,-6.81,-7.06
7375436.0,0.96,-6.86,-7.13
7395416.0,0.99,-6.84,-7.18
7415392.0,0.97,-6.84,-7.13
7435372.0,1.0,-6.86,-7.12
7455340.0,1.0,-6.86,-7.12
7475320.0,0.99,-6.84,-7.16
7495888.0,1.0,-6.84,-7.17
7515876.0,0.96,-6.87,-7.13
7535844.0,0.98,-6.87,-7.14
7555840.0,1.01,-6.86,-7.13
7575812.0,0.92,-6.79,-7.12
7595796.0,0.97,-6.85,-7.13
7615776.0,0.96,-6.88,-7.18
7635756.0,0.99,-6.81,-7.17
7655736.0,0.98,-6.83,-7.19
7675704.0,0.97,-6.83,-7.14
7695700.0,0.94,-6.88,-7.16
7715676.0,0.98,-6.83,-7.13
7735672.0,0.96,-6.89,-7.15
7755644.0,0.96,-6.89,-7.15
7775632.0,0.96,-6.85,-7.15
7795608.0,0.99,-6.84,-7.18
7816184.0,0.95,-6.87,-7.12
7836164.0,1.01,-6.86,-7.14
7856144.0,0.97,-6.83,-7.14
7876120.0,0.95,-6.85,-7.17
7896096.0,0.97,-6.82,-7.21
7916072.0,0.98,-6.8,-7.14
7936032.0,0.95,-6.84,-7.13
7956016.0,1.0,-6.86,-7.12
7975996.0,0.98,-6.86,-7.12
7995968.0,0.96,-6.84,-7.09
8015936.0,0.96,-6.87,-7.21
8035920.0,0.97,-6.82,-7.18
8055900.0,0.97,-6.82,-7.18
8075872.0,0.95,-6.87,-7.19
8096452.0,0.97,-6.84,-7.12
8116432.0,0.98,-6.85,-7.18
8136412.0,0.97,-6.83,-7.12
8156384.0,0.96,-6.85,-7.13
8176372.0,0.96,-6.85,-7.13
8196352.0,0.99,-6.82,-7.14
8216324.0,0.96,-6.86,-7.19
8236304.0,0.93,-6.84,-7.2
8256280.0,0.97,-6.87,-7.08
8276252.0,0.96,-6.87,-7.13
8296232.0,0.94,-6.86,-7.16
8316216.0,0.97,-6.85,-7.2
8336188.0,1.0,-6.86,-7.1
8356168.0,1.0,-6.86,-7.1
8376136.0,0.92,-6.9,-7.13
8396120.0,0.97,-6.88,-7.16
8416700.0,0.96,-6.85,-7.19
8436676.0,0.99,-6.87,-7.12
8456644.0,0.93,-6.83,-7.15
8476632.0,0.97,-6.86,-7.18
8496600.0,0.94,-6.78,-7.12
8516580.0,0.95,-6.86,-7.14
8536552.0,0.97,-6.87,-7.12
8556528.0,0.99,-6.82,-7.14
8576496.0,0.95,-6.83,-7.17
8596472.0,0.98,-6.9,-7.2
8616452.0,0.99,-6.86,-7.13
